Variable_original,Etiqueta_Stata,Estado,Variable_destino
e1004,"e1004: si tuviera que elegir, diria que probablemente es verdadero o falso?",Conservada directamente,e1004
e1005,e1005: como de seguro esta de que la respuesta dada es correcta?,Conservada directamente,e1005
e1200,e1200: una hipoteca a 15 anios requiere normalmente pagos mensuales mas...,Conservada directamente,e1200
e1101,e1101: que fondo obtuvo el mejor rendimiento al termino de los seis anios?,Conservada directamente,e1101
e0401,e0401: puede senialar en que frase del texto se indica...?      ,Conservada directamente,e0401
e0402,e0402: a que edad comenzo a participar cabaniero en competiciones de natacion?,Conservada directamente,e0402
e0300,e0300: imagine que para producir cinco aparatos se necesitan cinco maquinas...,Conservada directamente,e0300
e1400,"e1400: en una loteria, la probabilidad de ganar un premio es del 1%.¿cuantas per",Conservada directamente,e1400
e1500,e1500: imagine que el pronostico del tiempo dice que la probabilidad de lluvia..,Conservada directamente,e1500
e1600,e1600: el siguiente mensaje estaba impreso en un medicamento…,Conservada directamente,e1600
e1701,e1701: que tipo de interes cree que seria mejor para una pareja que solicita un ,Conservada directamente,e1701
e1702,e1702: que tipo de interes cree que seria mejor para una pareja que transfiere d,Conservada directamente,e1702
e1800,e1800: cual de las siguientes afirmaciones cree que explica mejor…,Conservada directamente,e1800
e1300,e1300: como de seguro esta de que las respuestas son correctas?,Conservada directamente,e1300
i0100,i0100: cual es el regimen de tenencia de la vivienda principal?,Conservada directamente,i0100
i0200a,i0200a: por que alquilar? a. es mas barato alquilar que comprar,Agrupada en variable padre,i0200x
i0200b,i0200b: por que alquilar? b. alquilar es una opción mas flexible,Agrupada en variable padre,i0200x
i0200c,i0200c: por que alquilar? c. cambio frecuentemente de domicilio,Agrupada en variable padre,i0200x
i0200d,i0200d: por que alquilar? d. no reuno las condiciones para obtener una hipoteca,Agrupada en variable padre,i0200x
i0200e,i0200e: por que alquilar? e. no podria hacer frente a los pagos de una hipoteca,Agrupada en variable padre,i0200x
i0200h,i0200h: por que alquilar? h. no podria hacer frente a la entrada,Agrupada en variable padre,i0200x
i0200f,i0200f: por que alquilar? f. estoy buscando una casa para comprar,Agrupada en variable padre,i0200x
i0200g,i0200g: por que alquilar? g. el tipo de vivienda que quiero no esta a la venta,Agrupada en variable padre,i0200x
i0200j,i0200j. por que alquilar? j. otros,Agrupada en variable padre,i0200x
i0300,i0300: que cantidad pagan mensualmente en concepto de alquiler?,Conservada directamente,i0300
